,isomorphic_hash,number_of_nodes,number_of_edges,is_strongly_connected,is_prime,adj_,DiGraph
42,79b96254c1249894e3aba0c69a3f63fb,4,8,True,False,"{0: [3], 1: [0, 3], 2: [0, 1, 3], 3: [0, 2]}","Printing the out edges chart for 
0: [3]
1: [0, 3]
2: [0, 1, 3]
3: [0, 2]
"
43,0456e1a740adce965bb7e1381a50090a,4,9,True,False,"{0: [3], 1: [2, 0], 2: [0, 1, 3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [2, 0]
2: [0, 1, 3]
3: [0, 1, 2]
"
44,f5566c22f536ef37760b02827af520ed,4,8,True,False,"{0: [3], 1: [2], 2: [3, 0, 1], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [2]
2: [3, 0, 1]
3: [0, 1, 2]
"
45,6ca969b187c057441b184611c697123d,4,7,True,False,"{0: [3], 1: [2], 2: [0, 1], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [2]
2: [0, 1]
3: [0, 1, 2]
"
46,1a0ba6f04709b3239fdc0a34b0e754f1,4,6,True,False,"{0: [3], 1: [2], 2: [0, 1], 3: [2, 0]}","Printing the out edges chart for 
0: [3]
1: [2]
2: [0, 1]
3: [2, 0]
"
47,b91bb22410de7f75d21189a69e6d2bc0,4,6,True,False,"{0: [3], 1: [2], 2: [0, 1], 3: [0, 1]}","Printing the out edges chart for 
0: [3]
1: [2]
2: [0, 1]
3: [0, 1]
"
48,7ab7b9e933c5a74ffa0454bdbf5ab592,4,7,True,False,"{0: [3], 1: [2], 2: [3, 1], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [2]
2: [3, 1]
3: [0, 1, 2]
"
49,cf933529dc8f001829750bb25c50ec14,4,6,True,True,"{0: [3], 1: [2], 2: [3, 1], 3: [0, 2]}","Printing the out edges chart for 
0: [3]
1: [2]
2: [3, 1]
3: [0, 2]
"
50,72e22688f9852862f8b5688b5b13ab12,4,8,True,False,"{0: [3], 1: [0, 2], 2: [1, 3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [0, 2]
2: [1, 3]
3: [0, 1, 2]
"
51,fabf590b5ff163b849f034ff2b611557,4,7,True,False,"{0: [3], 1: [0, 2], 2: [1, 3], 3: [1, 2]}","Printing the out edges chart for 
0: [3]
1: [0, 2]
2: [1, 3]
3: [1, 2]
"
52,0bd3b5ca1bdac6c2f653133535248d3c,4,7,True,False,"{0: [3], 1: [2, 0], 2: [1, 3], 3: [0, 2]}","Printing the out edges chart for 
0: [3]
1: [2, 0]
2: [1, 3]
3: [0, 2]
"
53,366f720d5d7091edab820adeab6230e0,4,7,True,False,"{0: [3], 1: [2, 0], 2: [1, 3], 3: [0, 1]}","Printing the out edges chart for 
0: [3]
1: [2, 0]
2: [1, 3]
3: [0, 1]
"
54,9a47c0dbc070156af1b6e72233df1b13,4,8,True,False,"{0: [3], 1: [0, 2], 2: [0, 1], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [0, 2]
2: [0, 1]
3: [0, 1, 2]
"
55,655367b0d31dd9ac4ebfb1ca5ef7dee8,4,7,True,False,"{0: [3], 1: [2, 0], 2: [0, 1], 3: [1, 2]}","Printing the out edges chart for 
0: [3]
1: [2, 0]
2: [0, 1]
3: [1, 2]
"
56,87e5ad946df8a5170bf37743ba9e2dad,4,7,True,False,"{0: [3], 1: [2, 0], 2: [0, 1], 3: [0, 2]}","Printing the out edges chart for 
0: [3]
1: [2, 0]
2: [0, 1]
3: [0, 2]
"
57,713abd4f0207e6d24b00782492884840,4,8,True,False,"{0: [3], 1: [0, 2], 2: [0, 1, 3], 3: [1, 2]}","Printing the out edges chart for 
0: [3]
1: [0, 2]
2: [0, 1, 3]
3: [1, 2]
"
58,403abed813227cb377939d77cb35d25f,4,8,True,False,"{0: [3], 1: [0, 2], 2: [0, 1, 3], 3: [0, 2]}","Printing the out edges chart for 
0: [3]
1: [0, 2]
2: [0, 1, 3]
3: [0, 2]
"
59,22bdfa1c0194376ff35d5218e1b005a7,4,8,True,False,"{0: [3], 1: [2, 0], 2: [0, 1, 3], 3: [0, 1]}","Printing the out edges chart for 
0: [3]
1: [2, 0]
2: [0, 1, 3]
3: [0, 1]
"
60,6c90a9a823d32b1d4b11f5ccb506315c,4,9,True,False,"{0: [3], 1: [2, 3], 2: [0, 1, 3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [2, 3]
2: [0, 1, 3]
3: [0, 1, 2]
"
61,a62cf0d7c0e92b62ca919f0e1d4ac085,4,8,True,False,"{0: [3], 1: [3, 2], 2: [1, 3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [3, 2]
2: [1, 3]
3: [0, 1, 2]
"
62,a6ce4612a6c49922a0bcf02c93b4c300,4,7,True,False,"{0: [3], 1: [2, 3], 2: [1, 3], 3: [0, 2]}","Printing the out edges chart for 
0: [3]
1: [2, 3]
2: [1, 3]
3: [0, 2]
"
63,99747b5473ceafad862e05b5d56361b9,4,8,True,False,"{0: [3], 1: [3, 2], 2: [0, 1, 3], 3: [1, 2]}","Printing the out edges chart for 
0: [3]
1: [3, 2]
2: [0, 1, 3]
3: [1, 2]
"
64,41db70355a2b4fd32283681f9c942d43,4,8,True,False,"{0: [3], 1: [3, 2], 2: [0, 1, 3], 3: [0, 2]}","Printing the out edges chart for 
0: [3]
1: [3, 2]
2: [0, 1, 3]
3: [0, 2]
"
